Item,Part Number,Thumbnail,BOM Structure,Unit QTY,QTY,Stock Number,Description,REV
1,pro36in,(NonDisplayable),Normal,1,6,,,
2,pro20in,(NonDisplayable),Normal,1,14,,,
3,BearingBlock,(NonDisplayable),Normal,1,12,,,
4,DriveShaftA,(NonDisplayable),Normal,1,2,,,
5,SideShaftA,(NonDisplayable),Normal,1,2,,,
6,SideShaftB,(NonDisplayable),Normal,1,2,,,
7,pro35mm,(NonDisplayable),Normal,1,16,,,
8,217-3141-RS775-STEP,(NonDisplayable),Normal,1,2,,STEP AP214,ANY
9,24tPulley15mm,(NonDisplayable),Normal,1,2,,STEP AP214,ANY
10,ShaftCollar,(NonDisplayable),Normal,1,2,,STEP AP203,ANY
11,pro125mm,(NonDisplayable),Normal,1,12,,,
12,proWildStangin,(NonDisplayable),Normal,1,2,,,
